date,tournament_name,entry_count,active_count,withdrawal_count,url
2026-03-23,2026 Atlantic City Open,195,195,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKClpA==
2026-03-23,2026 Bradley Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfng==
2026-03-23,2026 Chicago Class,1,1,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOeoA==
2026-03-23,2026 Chicago Open,180,180,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioA==
2026-03-23,2026 Chicago Open Blitz,4,4,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioQ==
2026-03-23,2026 Cleveland Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfow==
2026-03-23,2026 DC International,5,5,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGmoA==
2026-03-23,2026 DC Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKKjnQ==
2026-03-23,2026 Hartford Open,3,3,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfnw==
2026-03-23,2026 New York State Open,1,1,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKKipQ==
2026-03-23,2026 Pacific Coast Open,3,3,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfoQ==
2026-03-23,2026 Pittsburgh Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfoA==
2026-03-23,2026 Southern Open,0,0,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfog==
2026-03-24,2026 Atlantic City Open,216,216,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKClpA==
2026-03-24,2026 Bradley Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfng==
2026-03-24,2026 Chicago Class,1,1,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOeoA==
2026-03-24,2026 Chicago Open,180,180,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioA==
2026-03-24,2026 Chicago Open Blitz,4,4,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioQ==
2026-03-24,2026 Cleveland Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfow==
2026-03-24,2026 DC International,5,5,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGmoA==
2026-03-24,2026 DC Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKKjnQ==
2026-03-24,2026 Hartford Open,3,3,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfnw==
2026-03-24,2026 New York State Open,1,1,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKKipQ==
2026-03-24,2026 Pacific Coast Open,3,3,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfoQ==
2026-03-24,2026 Pittsburgh Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfoA==
2026-03-24,2026 Southern Open,0,0,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfog==
2026-03-25,2026 Atlantic City Open,226,226,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKClpA==
2026-03-25,2026 Bradley Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfng==
2026-03-25,2026 Chicago Class,1,1,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOeoA==
2026-03-25,2026 Chicago Open,183,183,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioA==
2026-03-25,2026 Chicago Open Blitz,4,4,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKGioQ==
2026-03-25,2026 Cleveland Open,2,2,0,https://chessaction.com/tournaments/index.php?view=zNTizdLa&tid=nKOfow==
